Referencia,question,answer
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Es frecuente el suicidio?,Cada año se suicidan en el mundo más de 800.000 personas y se estima que aproximadamente ocurre un suicidio cada minuto y un intento cada tres segundos. Actualmente es la primera causa de muerte no natural en España (por delante de los accidentes de tráfico).
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿La conducta suicida va más allá del intento de suicidio?,"La conducta suicida también incluye la ideación suicida (pensamientos sobre suicidio, deseos de morir, plan suicida) o actos suicidas (acciones autolesivas con mayor o menor grado de intencionalidad suicida)."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿La mayoría de suicidios pueden prevenirse?,"Los pensamientos suicidas normalmente están asociados a problemas que son transitorios y que, aunque sean muy graves, pueden resolverse con tiempo y con ayuda de familiares, personas allegadas, amistades y profesionales. "
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Es suicidio no se limita a un tipo concreto de población?,"El suicidio puede afectar a personas de cualquier edad, cultura o grupo poblacional."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿La mayoría de personas con ideas suicidas expresan previamente su intención? ," Sí, pueden hacerlo con palabras, amenazas, gestos o cambios de conducta. Por ello es importante conocer las señales de alarma y detectarlas.  "
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿El que una persona tenga pensamientos suicidas significa que esté decidida a morir? ,"No, toda persona que tiene ideas y pensamientos suicidas se encuentra en una situación ambivalente, es decir, se debate entre el deseo de vivir y el de morir.  "
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Solo los profesionales pueden ayudar a prevenir el suicidio? ,"No, aunque es muy recomendable acudir a un especialista, también otras personas del entorno pueden sumarse y ayudar a una persona que se encuentra en una situación de crisis suicida, escuchándola, comprendiéndola, no juzgándola y acompañándola en lo que necesite."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Qué decir a un familiar o amigo que está pensando en el suicidio?,"Estar presente, acompañar. Escuchar atentamente, permanecer calmado. Empatizar, comprender sus sentimientos. Transmitir mensajes no verbales de aceptación y respeto. Expresar respeto por sus opiniones y valores personales. Hablar honesta y genuinamente. Demostrar interés y calidez. “Me gustaría que me dieras una oportunidad para ayudarte”. Centrarse en sus sentimientos. Respetar los silencios, hablar de lo que piensa y siente no es fácil. "
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Qué NO decir a un familiar o amigo que está pensando en el suicidio?,"Nunca juzgarle, ni verbalmente, ni de manera no verbal o gestual. No reprocharle su manera de pensar/actuar. “¿Cómo puedes decir eso?”. No criticar, no discutir, no utilizar sarcasmos, ni desafiarle. “¡No digas tonterías!”. No minimizar la situación que está viviendo. “Ya se te pasará”. No crear falsas expectativas ni hacerle promesas que no se pueden cumplir. “No te preocupes, todo va a ir bien, esto se solucionará”. No entrar en pánico. Si no sabemos cómo actuar, escucharle con calma y buscar apoyo especializado en cuanto podamos. No utilizar argumentos como “Vas a hacer mucho daño a X”, si no conocemos su relación con estas personas, porque quizás es eso precisamente lo que pretende conseguir. Mejor argumentar en positivo acerca de lo importante que es para nosotros y para otras personas, sobre todo si conocemos quién o qué es lo que más le importa."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Cuáles son las fases de la conducta suicida?,"Las crisis de suicidio no aparecen de repente. Cuando una persona contempla la posibilidad de quitarse la vida generalmente atraviesa tres fases: Fase de Consideración, Fase de ambivalencia, y Fase de decisión. La persona considera que poner fin a su vida es una posibilidad para dar salida a una situación sumamente angustiosa y dolorosa. Se concibe la muerte como una liberación, como una huida del “callejón sin salida” en el que se ha convertido su vida."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Qué es la fase de consideración en la conducta suicida?,"La persona considera que poner fin a su vida es una posibilidad para dar salida a una situación sumamente angustiosa y dolorosa. Se concibe la muerte como una liberación, como una huida del “callejón sin salida” en el que se ha convertido su vida."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Qué es la fase de ambivalencia en la conducta suicida?,"En esta fase la persona se siente atraída por la idea del suicidio pero a la vez duda de sus beneficios. La duración de esta fase es variable, en los individuos muy impulsivos incluso puede no llegar a darse."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Qué es la fase de decisión en la conducta suicida?,"La persona tiene ya establecido un plan sobre cómo va a llevar a cabo su suicidio. A mayor precisión en los detalles, mayor riesgo suicida. Es en esta etapa donde se producen “avisos indirectos” sobre sus intenciones autodestructivas, como por ejemplo una mejoría espectacular de una depresión, despedidas o la preocupación por el testamento."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Qué puedo hacer durante el ingreso hospitalario si un familiar o amigo ha intentado suicidarse?,"Colabora con el personal médico para que puedan conocer su historial médico y emocional. Facilítales información sobre su tratamiento farmacológico y psicoterapéutico, sus posibles antecedentes familiares de suicidio, o si tiene un acta de voluntad anticipada. Antes de abandonar el hospital habla claramente con el personal médico para identificar cuál será tu papel en su proceso de recuperación. Puedes por ejemplo preguntar: ¿Piensa usted que mi familiar está listo para salir del hospital? ¿Cuál es mi papel, a partir de ahora, como miembro de la familia? ¿Sobre qué tipo de síntomas debemos estar alerta y cuándo debemos buscar ayuda? "
